load_perc,portal_shares,seconds,portal_cpu_usage,stress_cpu_uasge,job_exec_time
125,1024,365,7.059058966126589,5.059180407751145,2:179
125,1024,367,7.5600636354756805,4.380685002388503,2:179
118,1024,369,8.398538351982047,2.3716716668333304,2:179
118,1024,372,8.67669548271412,2.3858713327688075,2:179
112,1024,374,9.738002410898456,0.3866138350222223,2:179
112,1024,376,9.737620911088294,0.3366803919959748,2:179
106,1024,379,9.737620911088296,0,2:179
106,1024,381,9.766267753247277,0,2:179
112,1024,384,7.711901131374996,0,2:179
112,1024,387,9.000024143891778,0,2:179
112,1024,390,7.731570673037137,0,2:179
112,1024,392,7.98838211573493,0,2:179
118,1024,395,6.979691327843357,7.385282112898158,2:179
118,1024,398,6.979691327843357,7.385282112898158,2:179
125,1024,400,6.236809062723353,7.785309217374779,2:179
131,1024,403,6.236809062723353,7.785309217374779,2:179
131,1024,406,5.363186337272129,4.808774605637556,2:179
131,1024,409,5.176546440961288,5.728574314594872,2:179
131,1024,411,5.133119132989811,6.604514780794076,2:179
131,1024,414,5.177739770806595,7.501382620165028,2:179
131,1024,417,5.069258662569658,8.327929234583683,2:179
137,1024,419,4.503849644237586,8.56475905388397,2:179
137,1024,422,5.038405156612383,9.792292037573414,2:179
137,1024,425,4.412426986525597,8.617390601826294,2:179
137,1024,428,5.012256821695145,9.917153984393176,2:179
143,1024,430,4.979143789665924,9.963628002255428,2:179
143,1024,433,4.979143789665924,9.96362800225543,2:179
143,1024,435,5.001665017892799,9.877157579729788,2:179
150,1024,438,5.001665017892799,9.877157579729788,2:179
150,1024,440,5.073348665729274,9.853326119880277,2:179
143,1024,443,5.073348665729274,9.890512511353954,2:179
143,1024,445,5.780055855584079,8.675554377377459,2:179
143,1024,447,5.780055855584079,7.814939383141617,2:179
137,1024,450,6.927827560718188,7.092990187095345,2:179
137,1024,452,6.927827560718188,6.045355536461363,2:179
131,1024,454,7.259511398283305,4.046590315958335,2:179
131,1024,457,7.708385763968912,3.916714510327659,2:179
125,1024,459,8.50468846728972,3.56748847531552,2:179
125,1024,461,8.641463210724762,2.185445924182082,2:179
118,1024,464,7.709913476608634,1.950845858448476,2:179
118,1024,466,9.330741539593873,0.43096693925431856,2:179
118,1024,469,9.598684484439989,0,2:179
118,1024,471,9.557545755639389,0,2:179
118,1024,474,9.476310243776235,0,2:179
118,1024,477,8.855788438805972,1.976383659171597,2:179
125,1024,479,7.634081931079377,1.9763836591715973,2:179
125,1024,482,7.771744761606224,4.46138647943705,2:179
131,1024,485,7.481025455307526,5.184699939822461,2:179
131,1024,488,7.043150640006324,6.421448255924163,2:179
131,1024,490,5.937615123377672,7.681572096134378,2:179
131,1024,493,5.937615123377669,8.821492739128514,2:179
131,1024,496,5.041491516728781,9.016743179122395,2:179
137,1024,498,5.041491516728781,8.882218034478992,2:179
137,1024,501,4.956489226176208,9.984611773279353,2:179
